Lot Area,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,BsmtFin Type 1,BsmtFin SF 1,Heating QC,1st Flr SF,Gr Liv Area,Kitchen Qual,Fireplaces,Garage Area,SalePrice,vintage,new_age,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_ClearCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Foundation_PConc,Foundation_Slab
8750,5,0.0,3,3,3,435.0,3,1202,1202,3,0,304.0,120000,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10625,6,353.0,4,4,1,0.0,5,1158,2443,4,1,744.0,265000,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9135,6,120.0,4,4,6,340.0,5,1700,1700,4,0,544.0,200000,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14137,4,98.0,3,4,5,865.0,4,1200,1200,3,0,850.0,173000,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53107,6,0.0,4,4,6,985.0,5,1079,1953,4,2,501.0,240000,28,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14277,8,280.0,4,5,6,938.0,5,1217,2385,4,1,818.0,350000,17,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12438,8,466.0,5,5,1,0.0,5,1264,2576,5,1,666.0,361919,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6060,4,0.0,3,3,1,0.0,4,772,1123,3,0,264.0,100000,81,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11800,7,94.0,4,4,6,766.0,5,1146,2486,4,1,452.0,279900,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
11500,7,0.0,4,4,3,223.0,4,1020,2057,4,1,180.0,250000,84,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8773,6,0.0,3,4,1,0.0,4,916,1600,3,1,460.0,169000,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9116,8,0.0,4,5,1,0.0,5,1491,1491,4,0,490.0,209000,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11980,7,177.0,4,4,6,1433.0,5,1433,1433,4,2,528.0,270000,33,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8814,7,80.0,4,4,6,925.0,5,1274,1274,4,0,508.0,203000,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12692,8,0.0,4,4,6,1231.0,5,3228,3228,4,1,546.0,430000,28,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8577,7,0.0,4,4,1,0.0,5,847,1733,4,1,433.0,185088,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11341,5,180.0,3,4,5,1302.0,3,1392,1392,3,1,528.0,121500,63,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11606,5,192.0,3,4,3,650.0,3,1040,2080,2,2,504.0,135000,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14082,8,945.0,4,5,6,1558.0,5,2234,2234,4,1,724.0,441929,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8393,5,122.0,3,3,2,528.0,5,1712,1712,3,0,588.0,145000,61,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4379,8,0.0,4,4,6,851.0,5,1378,1378,4,1,540.0,214000,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9928,7,0.0,3,3,1,0.0,2,1272,1944,3,0,216.0,179900,105,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6000,6,0.0,3,3,4,397.0,4,1103,1103,4,1,440.0,110500,95,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13650,5,0.0,4,3,5,57.0,5,1252,1920,4,1,451.0,172500,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14191,8,0.0,4,4,1,0.0,5,993,1908,4,0,431.0,202900,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
15783,5,0.0,3,3,3,292.0,3,924,924,3,0,420.0,112500,68,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12568,8,246.0,4,5,6,669.0,5,895,1818,5,1,774.0,281500,13,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5707,6,0.0,3,3,1,0.0,4,647,1242,3,1,180.0,105000,85,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5306,7,0.0,4,4,6,495.0,4,1064,1767,4,1,504.0,239000,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15957,6,0.0,3,4,6,1148.0,3,1356,1356,3,1,528.0,188000,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8400,6,0.0,3,3,3,423.0,2,1390,1694,3,1,576.0,136500,95,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10000,5,0.0,3,3,4,594.0,5,1144,1144,3,1,264.0,131400,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11316,7,44.0,4,4,6,624.0,5,824,1894,4,1,510.0,214900,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1974,4,0.0,3,4,6,501.0,4,526,988,3,0,297.0,105000,47,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7200,6,0.0,3,3,3,673.0,2,854,1278,3,0,240.0,127500,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9142,5,0.0,3,2,1,0.0,3,830,1627,3,0,420.0,139500,120,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6762,7,24.0,4,4,6,686.0,5,1208,1208,4,0,632.0,206000,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9802,5,0.0,3,4,1,0.0,4,744,1444,3,0,400.0,174000,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10120,8,391.0,4,4,6,740.0,5,1203,2526,4,1,844.0,290000,26,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12511,7,168.0,4,4,5,988.0,5,1420,2840,4,2,1314.0,292500,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9938,7,246.0,4,4,6,750.0,5,1062,1949,4,1,574.0,236000,27,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9906,4,0.0,3,3,1,0.0,2,810,1328,3,0,210.0,107000,95,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9600,6,0.0,3,3,4,280.0,3,1032,1252,3,0,288.0,119000,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200,5,0.0,3,3,3,906.0,5,1040,1040,3,0,384.0,129500,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9024,6,0.0,4,4,1,0.0,5,813,1515,4,1,393.0,179000,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8125,5,0.0,3,3,4,403.0,5,864,864,3,0,308.0,118000,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9100,5,0.0,3,3,1,0.0,3,779,935,3,0,308.0,79500,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9316,5,0.0,3,3,3,544.0,4,1020,1020,3,0,288.0,124100,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8450,7,0.0,4,4,6,699.0,5,1337,1337,4,0,531.0,185000,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7937,6,0.0,3,3,6,819.0,3,1003,1003,3,0,588.0,142500,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11200,5,0.0,3,3,1,0.0,5,1298,1298,3,0,504.0,114000,56,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,6,0.0,3,4,5,285.0,3,561,1229,3,1,462.0,124000,40,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,8,72.0,4,4,1,0.0,5,997,2285,4,1,648.0,248000,20,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10010,7,320.0,4,4,4,228.0,5,1108,2197,4,1,783.0,287500,27,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14137,5,0.0,4,4,6,450.0,4,1384,1384,4,0,404.0,177900,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9098,4,0.0,3,3,5,348.0,5,605,605,3,0,0.0,86000,100,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4835,7,0.0,4,5,6,1298.0,5,1488,1488,4,1,506.0,260000,16,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6000,5,0.0,3,3,1,0.0,3,811,1387,4,0,256.0,93000,66,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10482,6,63.0,3,3,6,507.0,5,1138,1138,3,0,264.0,145000,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,5,54.0,4,3,5,806.0,5,1053,1053,4,0,312.0,145500,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8050,5,0.0,3,3,5,474.0,3,1107,1107,4,0,308.0,127000,53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12342,4,0.0,3,3,4,262.0,5,861,861,3,0,539.0,82500,80,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16647,5,0.0,3,4,5,1390.0,3,1701,1701,3,2,611.0,171000,45,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11425,5,0.0,3,3,4,486.0,4,1008,1008,3,1,275.0,137000,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10628,7,0.0,3,3,6,778.0,3,1277,1277,3,1,526.0,167000,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11449,8,0.0,4,4,6,1011.0,5,1728,1728,4,1,520.0,298751,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8076,6,112.0,3,4,6,705.0,4,1169,1169,3,1,402.0,183500,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9129,5,144.0,3,4,6,923.0,3,1008,1008,4,1,678.0,153500,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14774,9,165.0,4,4,1,0.0,5,1422,2599,4,1,779.0,333168,21,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6324,4,0.0,3,3,1,0.0,2,520,520,2,0,240.0,68500,93,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9130,6,252.0,3,3,6,400.0,4,800,1632,4,0,484.0,173000,54,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500,6,0.0,3,3,1,0.0,5,900,1312,3,0,649.0,127000,73,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7230,7,0.0,3,3,1,0.0,4,867,1718,4,1,264.0,238000,93,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8680,5,0.0,3,3,1,0.0,3,894,894,3,0,312.0,117600,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7800,5,0.0,3,3,3,312.0,3,912,912,3,0,288.0,115000,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,7,235.0,4,4,6,1000.0,5,1405,1405,4,1,478.0,200000,17,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8029,6,0.0,3,4,1,0.0,5,728,1456,4,0,400.0,176000,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10050,5,0.0,3,3,3,288.0,3,1216,1216,3,0,336.0,129500,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10762,6,0.0,3,4,1,0.0,3,626,1217,3,1,288.0,120000,40,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8755,7,298.0,4,4,5,772.0,5,1022,2060,4,1,390.0,214000,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13682,10,1031.0,5,5,1,0.0,5,1426,2945,4,1,641.0,438780,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11515,4,0.0,3,0,0,0.0,3,943,943,4,0,308.0,80000,62,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11578,9,302.0,5,5,1,0.0,5,1736,1736,5,1,834.0,360000,12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15611,5,0.0,3,4,5,767.0,3,1126,1126,5,0,540.0,175000,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9196,7,0.0,4,5,1,0.0,5,1560,1560,4,0,573.0,201000,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14330,7,145.0,4,4,5,1023.0,4,2151,2646,4,4,550.0,260000,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8550,5,0.0,3,2,1,0.0,3,960,1316,3,0,576.0,90000,94,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7627,4,0.0,2,2,1,0.0,4,1101,1701,2,0,0.0,94550,100,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6406,5,0.0,3,3,5,421.0,3,868,1558,3,1,400.0,150000,81,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7200,5,294.0,3,3,4,510.0,3,804,804,4,2,240.0,119000,80,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1680,6,604.0,3,3,5,358.0,3,483,987,3,0,264.0,89500,49,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11064,8,0.0,4,4,2,560.0,5,1239,1239,4,1,477.0,217500,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9060,5,0.0,3,4,5,548.0,5,942,1828,4,0,477.8399479505529,150909,97,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8930,6,0.0,3,0,0,0.0,3,1318,1902,3,0,539.0,112000,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3153,5,0.0,3,3,1,0.0,4,967,967,3,1,180.0,99900,100,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11751,6,480.0,3,4,4,705.0,5,1844,1844,3,1,546.0,190000,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,7,0.0,4,4,6,397.0,3,880,1700,4,0,450.0,148400,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12900,6,0.0,4,3,1,0.0,5,780,1560,4,0,0.0,159900,108,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10762,7,344.0,4,4,6,694.0,5,1005,1983,4,1,490.0,225000,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11423,8,479.0,4,4,6,1358.0,5,1601,1601,4,1,670.0,272000,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2280,7,360.0,3,4,5,549.0,4,757,1501,3,0,440.0,179400,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10895,5,0.0,3,3,3,648.0,3,972,972,3,0,305.0,122500,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9670,8,40.0,3,3,2,210.0,3,983,1873,3,2,786.0,257076,85,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8726,7,0.0,4,4,1,0.0,5,872,1909,4,0,529.0,197000,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9000,5,0.0,2,3,1,0.0,3,1060,1396,3,0,0.0,115000,69,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11344,5,180.0,3,3,4,460.0,3,874,1524,3,0,315.0,144000,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8248,4,0.0,3,3,1,0.0,3,964,1414,3,1,0.0,83000,98,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9967,7,0.0,3,4,1,0.0,5,774,1430,3,1,400.0,170000,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10678,8,337.0,4,4,6,700.0,5,2129,2872,4,1,541.0,285000,28,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7851,6,94.79490382757707,4,4,6,625.0,5,860,1960,4,2,440.0,216500,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12192,7,0.0,4,4,6,663.0,5,928,1823,4,0,626.0,235000,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10800,5,0.0,3,3,1,0.0,5,676,1352,4,0,720.0,149000,81,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8702,6,0.0,3,3,4,706.0,5,926,1604,3,1,470.0,187500,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8251,7,143.0,4,4,6,778.0,5,1506,1506,4,1,672.0,249000,15,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9900,7,256.0,4,4,6,987.0,5,1372,2646,4,1,656.0,260000,27,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9590,7,442.0,4,5,6,786.0,5,1146,1146,4,1,438.0,187500,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8765,4,0.0,3,3,5,285.0,5,951,951,3,0,327.0,106500,84,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2887,6,0.0,3,4,6,1003.0,5,1291,1291,4,1,431.0,173000,24,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8923,7,0.0,4,4,6,189.0,4,751,1382,3,1,396.0,177500,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
