Lot Area,Lot Shape,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,SalePrice,vintage,new_age,garage_age,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone
2217,4,4,0.0,3,3,3,4,273.0,546.0,3,1,546,1092,1,3,6,0,1.0,286.0,88000,50,50,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7200,4,5,0.0,3,3,3,4,437.0,864.0,5,1,864,864,1,3,5,0,1.0,297.0,119900,48,48,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5587,3,8,186.0,5,5,3,6,1480.0,1600.0,5,1,1652,1652,2,4,5,1,2.0,482.0,392500,12,12,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1890,4,4,0.0,3,4,3,5,495.0,630.0,4,1,630,630,1,3,3,0,0.0,0.0,81000,48,48,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9360,4,6,203.0,3,3,3,5,760.0,976.0,3,1,976,976,1,4,4,1,2.0,504.0,157500,52,16,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5105,2,7,0.0,4,4,3,6,239.0,551.0,5,1,551,1102,2,4,4,0,2.0,480.0,148800,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8544,4,3,0.0,3,0,0,0,0.0,0.0,2,0,1040,1040,2,3,6,0,2.0,400.0,81400,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19690,3,6,0.0,4,4,3,1,0.0,697.0,3,1,1575,2201,2,4,8,1,2.0,432.0,274970,54,54,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11088,4,6,144.0,3,3,3,5,832.0,1140.0,4,1,1707,1707,2,3,7,1,2.0,479.0,184000,42,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10197,3,6,491.0,3,3,3,5,288.0,1362.0,3,1,1362,1362,1,3,6,1,2.0,504.0,163000,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10440,4,6,0.0,4,4,3,2,493.0,1510.0,5,1,1584,2792,2,3,8,2,2.0,520.0,256000,100,70,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8750,4,5,0.0,3,3,3,3,435.0,1202.0,3,1,1202,1202,1,3,6,0,1.0,304.0,120000,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10625,4,6,353.0,4,4,3,1,0.0,1158.0,5,1,1158,2443,2,4,9,1,3.0,744.0,265000,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9135,4,6,120.0,4,4,3,6,340.0,1682.0,5,1,1700,1700,2,4,7,0,2.0,544.0,200000,17,17,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14137,4,4,98.0,3,4,3,5,865.0,1200.0,4,1,1200,1200,1,3,6,0,3.0,850.0,173000,56,56,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53107,2,6,0.0,4,4,3,6,985.0,1580.0,5,1,1079,1953,2,4,9,2,2.0,501.0,240000,28,28,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14277,4,8,280.0,4,5,3,6,938.0,1317.0,5,1,1217,2385,2,4,7,1,3.0,818.0,350000,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12438,3,8,466.0,5,5,4,1,0.0,1234.0,5,1,1264,2576,2,5,10,1,3.0,666.0,361919,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6060,4,4,0.0,3,3,3,1,0.0,732.0,4,1,772,1123,1,3,4,0,1.0,264.0,100000,81,70,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11800,3,7,94.0,4,4,3,6,766.0,1122.0,5,1,1146,2486,3,4,10,1,2.0,452.0,279900,17,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11500,3,7,0.0,4,4,3,3,223.0,1017.0,4,1,1020,2057,1,4,6,1,1.0,180.0,250000,84,33,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8773,3,6,0.0,3,4,3,1,0.0,916.0,4,1,916,1600,2,3,7,1,2.0,460.0,169000,23,23,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9116,4,8,0.0,4,5,3,1,0.0,1491.0,5,1,1491,1491,2,4,7,0,2.0,490.0,209000,19,19,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11980,4,7,177.0,4,4,3,6,1433.0,1433.0,5,1,1433,1433,1,4,4,2,2.0,528.0,270000,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8814,4,7,80.0,4,4,3,6,925.0,1274.0,5,1,1274,1274,2,4,6,0,2.0,508.0,203000,15,13,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12692,3,8,0.0,4,4,3,6,1231.0,3200.0,5,1,3228,3228,3,4,10,1,2.0,546.0,430000,28,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8577,3,7,0.0,4,4,3,1,0.0,847.0,5,1,847,1733,2,4,7,1,2.0,433.0,185088,16,16,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11341,3,5,180.0,3,4,3,5,1302.0,1392.0,3,1,1392,1392,1,3,5,1,2.0,528.0,121500,63,24,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11606,3,5,192.0,3,4,3,3,650.0,1040.0,3,1,1040,2080,1,2,9,2,2.0,504.0,135000,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14082,3,8,945.0,4,5,4,6,1558.0,2220.0,5,1,2234,2234,1,4,7,1,2.0,724.0,441929,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8393,4,5,122.0,3,3,3,2,528.0,1626.0,5,1,1712,1712,2,3,8,0,2.0,588.0,145000,61,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4379,3,8,0.0,4,4,3,6,851.0,1378.0,5,1,1378,1378,2,4,6,1,2.0,540.0,214000,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9928,4,7,0.0,3,3,3,1,0.0,672.0,2,1,1272,1944,2,3,8,0,1.0,216.0,179900,105,26,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,4,6,0.0,3,3,3,4,397.0,1103.0,4,1,1103,1103,1,4,5,1,2.0,440.0,110500,95,40,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13650,4,5,0.0,4,3,3,5,57.0,1052.0,5,1,1252,1920,2,4,8,1,2.0,451.0,172500,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14191,4,8,0.0,4,4,3,1,0.0,967.0,5,1,993,1908,2,4,9,0,2.0,431.0,202900,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15783,4,5,0.0,3,3,3,3,292.0,924.0,3,1,924,924,1,3,6,0,1.0,420.0,112500,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12568,4,8,246.0,4,5,3,6,669.0,895.0,5,1,895,1818,2,5,8,1,3.0,774.0,281500,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5707,4,6,0.0,3,3,3,1,0.0,583.0,4,1,647,1242,1,3,6,1,1.0,180.0,105000,85,70,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5306,3,7,0.0,4,4,4,6,495.0,1064.0,4,1,1064,1767,2,4,5,1,2.0,504.0,239000,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15957,3,6,0.0,3,4,3,6,1148.0,1244.0,3,1,1356,1356,2,3,6,1,2.0,528.0,188000,43,43,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8400,4,6,0.0,3,3,3,3,423.0,1181.0,2,1,1390,1694,2,3,7,1,2.0,576.0,136500,95,70,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10000,4,5,0.0,3,3,3,4,594.0,864.0,5,1,1144,1144,1,3,6,1,1.0,264.0,131400,59,37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11316,4,7,44.0,4,4,3,6,624.0,817.0,5,1,824,1894,2,4,8,1,2.0,510.0,214900,18,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1974,4,4,0.0,3,4,3,6,501.0,526.0,4,1,526,988,1,3,5,0,1.0,297.0,105000,47,14,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7200,4,6,0.0,3,3,3,3,673.0,854.0,2,1,854,1278,1,3,6,0,1.0,240.0,127500,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9142,4,5,0.0,3,2,3,1,0.0,797.0,3,0,830,1627,2,3,10,0,2.0,420.0,139500,120,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6762,4,7,24.0,4,4,3,6,686.0,1187.0,5,1,1208,1208,2,4,6,0,2.0,632.0,206000,14,14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9802,4,5,0.0,3,4,3,1,0.0,384.0,4,1,744,1444,2,3,7,0,2.0,400.0,174000,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10120,4,8,391.0,4,4,3,6,740.0,1165.0,5,1,1203,2526,2,4,8,1,3.0,844.0,290000,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12511,3,7,168.0,4,4,3,5,988.0,1420.0,5,1,1420,2840,2,4,8,2,4.0,1314.0,292500,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9938,4,7,246.0,4,4,3,6,750.0,1050.0,5,1,1062,1949,2,4,8,1,2.0,574.0,236000,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9906,4,4,0.0,3,3,3,1,0.0,686.0,2,0,810,1328,1,3,8,0,1.0,210.0,107000,95,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9600,4,6,0.0,3,3,3,4,280.0,1032.0,3,1,1032,1252,1,3,6,0,1.0,288.0,119000,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11200,4,5,0.0,3,3,3,3,906.0,1040.0,5,1,1040,1040,1,3,5,0,1.0,384.0,129500,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9024,3,6,0.0,4,4,3,1,0.0,789.0,5,1,813,1515,2,4,8,1,2.0,393.0,179000,16,16,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8125,4,5,0.0,3,3,3,4,403.0,864.0,5,1,864,864,1,3,5,0,1.0,308.0,118000,61,61,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9100,4,5,0.0,3,3,3,1,0.0,742.0,3,1,779,935,1,3,4,0,1.0,308.0,79500,90,60,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9316,3,5,0.0,3,3,3,3,544.0,1024.0,4,1,1020,1020,2,3,5,0,1.0,288.0,124100,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8450,4,7,0.0,4,4,3,6,699.0,1337.0,5,1,1337,1337,2,4,6,0,2.0,531.0,185000,17,17,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7937,3,6,0.0,3,3,3,6,819.0,1003.0,3,1,1003,1003,1,3,6,0,2.0,588.0,142500,36,36,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11200,3,5,0.0,3,3,3,1,0.0,1250.0,5,1,1298,1298,2,3,5,0,2.0,504.0,114000,56,56,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1300,4,6,0.0,3,4,3,5,285.0,561.0,3,1,561,1229,1,3,5,1,2.0,462.0,124000,40,40,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11000,4,8,72.0,4,4,3,1,0.0,969.0,5,1,997,2285,2,4,8,1,3.0,648.0,248000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10010,4,7,320.0,4,4,3,4,228.0,1080.0,5,1,1108,2197,2,4,9,1,3.0,783.0,287500,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
